valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,nom_commune,adresse_nom_voie,type_local,latitude,longitude
300600.0,28.0,2.0,75018,Paris 18e Arrondissement,RUE JOSEPH DIJON,Appartement,48.893734,2.346863
192000.0,18.0,1.0,75018,Paris 18e Arrondissement,RUE FAUVET,Appartement,48.889267,2.327259
873200.0,76.0,3.0,75018,Paris 18e Arrondissement,RUE MARCADET,Appartement,48.891073,2.337299
1875500.0,160.0,4.0,75010,Paris 10e Arrondissement,RUE DU FBG POISSONNIERE,Appartement,48.874583,2.348692
559500.0,46.0,2.0,75017,Paris 17e Arrondissement,RUE DE CHAZELLES,Appartement,48.880806,2.305323
315000.0,28.0,2.0,75010,Paris 10e Arrondissement,RUE ST VINCENT DE PAUL,Appartement,48.881744,2.352427
580000.0,55.0,3.0,75010,Paris 10e Arrondissement,RUE DE LANCRY,Appartement,48.871712,2.362654
581934.0,54.0,3.0,75010,Paris 10e Arrondissement,RUE CIVIALE,Appartement,48.87238,2.376032
385000.0,58.0,3.0,75020,Paris 20e Arrondissement,RUE DE LA JUSTICE,Appartement,48.868473,2.407601
1530000.0,105.0,3.0,75017,Paris 17e Arrondissement,RUE JOUFFROY D'ABBANS,Appartement,48.882529,2.301959
328000.0,34.0,1.0,75010,Paris 10e Arrondissement,RUE LUCIEN SAMPAIX,Appartement,48.87189,2.360901
190000.0,19.0,1.0,75010,Paris 10e Arrondissement,RUE DU FBG SAINT DENIS,Appartement,48.874902,2.355141
530000.0,66.0,3.0,75018,Paris 18e Arrondissement,RUE PAJOL,Appartement,48.889438,2.362389
302000.0,25.0,1.0,75002,Paris 2e Arrondissement,RUE DU MAIL,Appartement,48.866846,2.34193
524000.0,63.0,3.0,75019,Paris 19e Arrondissement,RUE D HAUTPOUL,Appartement,48.883747,2.388699
17714.0,27.0,1.0,75018,Paris 18e Arrondissement,RUE CHAMPIONNET,Appartement,48.89574,2.337042
180000.0,16.0,1.0,75018,Paris 18e Arrondissement,RUE SQUARE CARPEAUX,Appartement,48.892588,2.333201
400000.0,27.0,1.0,75004,Paris 4e Arrondissement,BD MORLAND,Appartement,48.848333,2.364563
543690.0,46.0,1.0,75009,Paris 9e Arrondissement,CITE PIGALLE,Appartement,48.880228,2.334178
697000.0,65.0,3.0,75018,Paris 18e Arrondissement,RUE DUHESME,Appartement,48.890914,2.338231
1611000.0,118.0,3.0,75008,Paris 8e Arrondissement,RUE DES MATHURINS,Appartement,48.873649,2.321082
965000.0,75.0,4.0,75009,Paris 9e Arrondissement,RUE VICTOR MASSE,Appartement,48.880612,2.338247
1365500.0,100.0,4.0,75003,Paris 3e Arrondissement,RUE DE TURENNE,Appartement,48.861057,2.364917
887550.0,71.0,3.0,75009,Paris 9e Arrondissement,RUE DE DUNKERQUE,Appartement,48.881911,2.347982
590000.0,48.0,3.0,75018,Paris 18e Arrondissement,PAS LATHUILLE,Appartement,48.884655,2.328022
155526.0,29.0,1.0,75003,Paris 3e Arrondissement,RUE SAINT MARTIN,Appartement,48.861952,2.351545
405000.0,36.0,3.0,75017,Paris 17e Arrondissement,RUE BOURSAULT,Appartement,48.88474,2.318869
187575.0,22.0,1.0,75020,Paris 20e Arrondissement,RUE PELLEPORT,Appartement,48.869331,2.400045
355000.0,32.0,2.0,75018,Paris 18e Arrondissement,RUE DOUDEAUVILLE,Appartement,48.888791,2.354865
93000.0,19.0,1.0,75019,Paris 19e Arrondissement,AV JEAN JAURES,Appartement,48.886195,2.382264
465000.0,30.0,2.0,75009,Paris 9e Arrondissement,RUE BOCHART DE SARON,Appartement,48.882132,2.341837
350000.0,29.0,1.0,75017,Paris 17e Arrondissement,RUE DULONG,Appartement,48.883639,2.3182
420000.0,33.0,4.0,75009,Paris 9e Arrondissement,RUE CHAPTAL,Appartement,48.881051,2.333516
344000.0,29.0,2.0,75010,Paris 10e Arrondissement,RUE LA FAYETTE,Appartement,48.878439,2.352668
525400.0,45.0,3.0,75018,Paris 18e Arrondissement,RUE CONSTANCE,Appartement,48.885374,2.333234
129000.0,15.0,1.0,75019,Paris 19e Arrondissement,RUE DE L EQUERRE,Appartement,48.874331,2.38239
260000.0,21.0,2.0,75020,Paris 20e Arrondissement,BD DE BELLEVILLE,Appartement,48.870032,2.379834
1750000.0,145.0,6.0,75017,Paris 17e Arrondissement,AV NIEL,Appartement,48.883214,2.296995
1054200.0,77.0,3.0,75008,Paris 8e Arrondissement,RUE DE NAPLES,Appartement,48.879549,2.319202
675000.0,52.0,2.0,75020,Paris 20e Arrondissement,BD DE CHARONNE,Appartement,48.856125,2.395331
180000.0,20.0,1.0,75020,Paris 20e Arrondissement,RUE DE LA CR DES NOUES,Appartement,48.864001,2.402124
230000.0,29.0,2.0,75010,Paris 10e Arrondissement,RUE EUGENE VARLIN,Appartement,48.878319,2.364113
881000.0,78.0,3.0,75017,Paris 17e Arrondissement,BD PEREIRE,Appartement,48.881146,2.289105
915000.0,67.0,3.0,75004,Paris 4e Arrondissement,RUE MALHER,Appartement,48.855637,2.361008
272000.0,31.0,1.0,75020,Paris 20e Arrondissement,RUE JUILLET,Appartement,48.867906,2.391362
261550.0,24.0,1.0,75003,Paris 3e Arrondissement,RUE SAINT MARTIN,Appartement,48.864358,2.353398
140000.0,18.0,1.0,75018,Paris 18e Arrondissement,RUE CHAMPIONNET,Appartement,48.895868,2.347331
760000.0,67.0,2.0,75017,Paris 17e Arrondissement,RUE DU DOCTEUR HEULIN,Appartement,48.891013,2.324759
317000.0,35.0,2.0,75020,Paris 20e Arrondissement,RUE DE BAGNOLET,Appartement,48.858197,2.399808
1050000.0,52.0,2.0,75008,Paris 8e Arrondissement,RUE JEAN MERMOZ,Appartement,48.871131,2.311265
390000.0,33.0,1.0,75003,Paris 3e Arrondissement,RUE DE SAINTONGE,Appartement,48.861542,2.362349
